gameweek,player_id,web_name,position,xPoints,now_cost,blend_rank,minutes,actual_points
4,426,B.Fernandes,MID,9.0,,,90,2
4,572,Tzolakis,GKP,8.7,,,90,2
4,279,Ajayi,DEF,8.3,,,90,1
4,399,Cherki,MID,8.3,,,45,1
4,15,Ødegaard,MID,8.0,,,84,3
4,69,Scott,MID,8.0,,,90,4
4,586,Mendy,DEF,8.0,,,58,1
4,411,Haaland,FWD,8.0,,,90,9
4,277,Egan,DEF,7.7,,,90,2
4,379,Isak,FWD,7.7,,,90,2
4,8,Calafiori,DEF,7.3,,,90,6
4,12,Saka,MID,7.3,,,90,8
4,330,Bogle,DEF,7.3,,,82,15
4,391,Gvardiol,DEF,7.3,,,90,11
4,68,Tavernier,MID,7.0,,,82,8
4,98,Janelt,MID,7.0,,,90,4
4,115,De Cuyper,DEF,7.0,,,90,11
4,154,Palmer,MID,7.0,,,90,5
4,165,João Pedro,FWD,7.0,,,90,12
4,229,Tarkowski,DEF,7.0,,,90,8
4,367,Gakpo,MID,7.0,,,30,1
4,427,Mbeumo,MID,7.0,,,90,2
4,10,White,DEF,6.7,,,45,1
4,282,Giles,DEF,6.7,,,90,4
4,388,Guéhi,DEF,6.7,,,90,6
4,40,Rogers,MID,6.3,,,90,8
4,268,King,MID,6.3,,,76,3
4,335,Stach,MID,6.3,,,87,3
4,86,Lewis-Potter,MID,6.0,,,59,1
4,565,M.Sangaré,MID,6.0,,,90,4
4,504,Vuskovic,DEF,6.0,,,77,6
4,449,Hall,DEF,6.0,,,90,0
4,454,Elanga,MID,6.0,,,0,0
4,480,Gibbs-White,MID,6.0,,,90,8
4,544,Xhaka,MID,6.0,,,90,1
4,453,Barnes,MID,5.7,,,90,2
4,26,Havertz,FWD,5.3,,,90,1
4,88,Kayode,DEF,5.3,,,19,1
4,124,Groß,MID,5.3,,,90,17
4,204,Mitchell,DEF,5.3,,,76,1
4,332,Justin,DEF,5.3,,,90,2
4,237,Ndiaye,MID,5.3,,,45,1
4,1,Raya,GKP,5.0,,,90,14
4,4,Gabriel,DEF,5.0,,,90,9
4,94,Schade,MID,5.0,,,90,15
4,173,Thomas,DEF,5.0,,,90,0
4,236,Dewsbury-Hall,MID,5.0,,,90,2
4,242,George,MID,5.0,,,64,3
4,385,Trafford,GKP,5.0,,,90,3
4,368,Szoboszlai,MID,5.0,,,90,3
4,469,N.Williams,DEF,5.0,,,90,2
4,286,Belloumi,MID,4.7,,,59,13
4,334,Muharemović,DEF,4.7,,,90,7
4,428,Cunha,MID,4.7,,,90,2
4,432,Mainoo,MID,4.7,,,90,4
4,13,Rice,MID,4.3,,,80,6
4,87,Ajer,DEF,4.3,,,90,1
4,127,Gomez,MID,4.3,,,83,3
4,230,Branthwaite,DEF,4.3,,,90,6
4,258,Castagne,DEF,4.3,,,71,6
4,377,Munoz,MID,4.3,,,59,1
4,397,Semenyo,MID,4.3,,,90,3
4,464,Wissa,FWD,4.3,,,90,2
4,472,Murillo,DEF,4.3,,,90,6
4,483,Ndoye,MID,4.3,,,74,1
4,533,Mukiele,DEF,4.3,,,90,0
4,542,E.Le Fée,MID,4.3,,,90,0
4,553,Isidor,FWD,4.3,,,20,1
4,597,Suzuki,GKP,4.0,,,90,2
4,96,Damsgaard,MID,4.0,,,30,1
4,249,Barry,FWD,4.0,,,90,2
4,280,Coyle,DEF,4.0,,,81,1
4,316,Emersonn,FWD,4.0,,,62,12
4,327,Bijol,DEF,4.0,,,0,0
4,471,Milenković,DEF,4.0,,,0,0
4,532,Ballard,DEF,4.0,,,90,0
4,557,Tzolis,MID,3.7,,,80,3
4,79,Evanilson,FWD,3.7,,,90,5
4,82,Kelleher,GKP,3.7,,,90,3
4,605,Yalcouyé,MID,3.7,,,64,8
4,211,Yeremy,MID,3.7,,,36,1
4,226,Pickford,GKP,3.7,,,90,6
4,233,Mykolenko,DEF,3.7,,,90,11
4,244,Armstrong,MID,3.7,,,90,3
4,570,Palacios,MID,3.7,,,0,0
4,290,Slater,MID,3.7,,,90,2
4,591,Enciso,MID,3.7,,,90,2
4,398,Foden,MID,3.7,,,22,-2
4,460,Willock,MID,3.7,,,32,1
4,116,Dunk,DEF,3.3,,,90,12
4,156,Neto,MID,3.3,,,85,2
4,214,Kamada,MID,3.3,,,83,8
4,569,Gonzalo,FWD,3.3,,,76,2
4,346,Calvert-Lewin,FWD,3.3,,,77,10
4,350,A.Becker,GKP,3.3,,,90,9
4,384,Donnarumma,GKP,3.3,,,90,7
4,390,Rúben,DEF,3.3,,,90,6
4,567,Horníček,GKP,3.3,,,90,1
4,474,Jair Cunha,DEF,3.3,,,0,0
4,112,Van Hecke,DEF,3.3,,,90,8
4,551,N.Angulo,MID,3.3,,,69,2
4,593,Dedić,DEF,3.2,,,57,0
4,109,Verbruggen,GKP,3.0,,,90,8
4,161,Lavia,MID,3.0,,,68,2
4,200,Lacroix,DEF,3.0,,,4,1
4,305,Davis,DEF,3.0,,,90,14
4,338,Ampadu,MID,3.0,,,90,7
4,356,Virgil,DEF,3.0,,,90,8
4,362,Jacquet,DEF,3.0,,,90,9
4,366,Wirtz,MID,3.0,,,90,3
4,579,Araujo,DEF,3.0,,,71,6
4,393,Khusanov,DEF,3.0,,,0,0
4,447,Botman,DEF,3.0,,,90,2
4,467,Sels,GKP,3.0,,,90,3
4,455,Tonali,MID,3.0,,,90,3
4,496,Kinsky,GKP,3.0,,,90,7
4,503,Van de Ven,DEF,3.0,,,90,6
4,529,Roefs,GKP,3.0,,,90,2
4,534,Hume,DEF,3.0,,,0,0
4,536,Reinildo,DEF,3.0,,,90,-2
4,541,Meunier,DEF,3.0,,,75,2
4,627,Barcola,MID,2.8,,,71,3
4,7,Lewis-Skelly,MID,2.7,,,45,1
4,36,Maatsen,DEF,2.7,,,90,1
4,138,Kostoulas,FWD,2.7,,,83,10
4,148,Hato,DEF,2.7,,,45,0
4,210,Wharton,MID,2.7,,,76,2
4,247,Hackney,MID,2.7,,,15,1
4,295,McBurnie,FWD,2.7,,,81,4
4,267,Lukić,MID,2.7,,,76,1
4,313,Clarke,MID,2.7,,,62,1
4,315,Fatawu,MID,2.7,,,61,1
4,481,Anderson,MID,2.7,,,90,5
4,43,Tielemans,MID,2.7,,,66,2
4,445,Thiaw,DEF,2.7,,,90,2
4,459,L.Miley,MID,2.7,,,79,0
4,558,Schlager,MID,2.7,,,90,3
4,516,Bentancur,MID,2.7,,,62,3
4,619,Palacios,MID,2.5,,,90,4
4,33,Mings,DEF,2.3,,,65,0
4,41,Buendía,MID,2.3,,,62,2
4,46,Barkley,MID,2.3,,,62,2
4,47,Kamara,MID,2.3,,,90,2
4,51,George Hemmings,MID,2.3,,,45,1
4,70,Kluivert,MID,2.3,,,65,8
4,71,Cook,MID,2.3,,,8,0
4,566,Silva,DEF,2.3,,,90,3
4,114,Boscagli,DEF,2.3,,,77,6
4,224,Nketiah,FWD,2.3,,,0,0
4,264,Bobb,MID,2.3,,,62,3
4,259,Diop,DEF,2.3,,,90,1
4,304,O'Shea,DEF,2.3,,,90,1
4,371,Gravenberch,MID,2.3,,,59,1
4,418,Maguire,DEF,2.3,,,90,1
4,439,Šeško,FWD,2.3,,,23,1
4,456,J.Ramsey,MID,2.3,,,0,0
4,486,McAtee,MID,2.3,,,81,3
4,514,Tel,MID,2.3,,,27,1
4,631,Mbaye,MID,2.2,,,27,1
4,628,Allan,MID,2.2,,,0,0
4,634,Fernandez-Pardo,FWD,2.1,,,57,1
4,11,Mosquera,DEF,2.0,,,0,0
4,37,Lindelöf,DEF,2.0,,,90,1
4,57,Petrović,GKP,2.0,,,90,1
4,60,Hill,DEF,2.0,,,90,2
4,67,Rayan,MID,2.0,,,81,2
4,73,Adams,MID,2.0,,,81,2
4,639,Andrés,MID,2.0,,,25,4
4,175,van Ewijk,DEF,2.0,,,90,0
4,183,Rudoni,MID,2.0,,,72,2
4,184,Grimes,MID,2.0,,,83,2
4,655,Gboho,MID,2.0,,,0,0
4,588,Khalaili,DEF,2.0,,,90,7
4,647,Osorio,MID,2.0,,,0,0
4,246,Röhl,MID,2.0,,,0,0
4,250,Leno,GKP,2.0,,,90,9
4,261,Iwobi,MID,2.0,,,76,3
4,576,Stroud,MID,2.0,,,59,1
4,642,Thomas,MID,2.0,,,30,1
4,309,Núñez,MID,2.0,,,0,0
4,320,Akpom,FWD,2.0,,,0,0
4,562,Maeda,MID,2.0,,,27,1
4,564,Scherpen,GKP,2.0,,,90,1
4,336,Okafor,MID,2.0,,,71,9
4,345,Tanaka,MID,2.0,,,71,6
4,358,Kerkez,DEF,2.0,,,45,1
4,429,Rashford,MID,2.0,,,82,2
4,473,Aina,DEF,2.0,,,90,2
4,499,Pedro Porro,DEF,2.0,,,0,0
4,502,Robertson,DEF,2.0,,,90,7
4,545,Sadiki,MID,2.0,,,90,2
4,552,Brobbey,FWD,2.0,,,90,1
4,646,Fofana,MID,2.0,,,14,1
