gameweek,player_id,web_name,position,xPoints,now_cost,blend_rank,minutes,actual_points
5,330,Bogle,DEF,9.2,,,66,5
5,124,Groß,MID,8.2,,,90,14
5,391,Gvardiol,DEF,8.2,,,90,4
5,411,Haaland,FWD,8.2,,,90,6
5,115,De Cuyper,DEF,8.0,,,90,6
5,12,Saka,MID,7.5,,,80,2
5,94,Schade,MID,7.5,,,90,9
5,1,Raya,GKP,7.2,,,90,1
5,68,Tavernier,MID,7.2,,,74,2
5,229,Tarkowski,DEF,7.2,,,90,14
5,367,Gakpo,MID,7.2,,,90,3
5,426,B.Fernandes,MID,7.2,,,90,2
5,8,Calafiori,DEF,7.0,,,90,1
5,69,Scott,MID,7.0,,,90,2
5,572,Tzolakis,GKP,7.0,,,90,6
5,15,Ødegaard,MID,6.8,,,72,2
5,40,Rogers,MID,6.8,,,90,2
5,286,Belloumi,MID,6.8,,,82,4
5,154,Palmer,MID,6.5,,,90,2
5,649,Maitland-Niles,DEF,6.5,,,90,8
5,279,Ajayi,DEF,6.5,,,90,1
5,388,Guéhi,DEF,6.5,,,90,4
5,399,Cherki,MID,6.5,,,84,8
5,480,Gibbs-White,MID,6.5,,,90,2
5,98,Janelt,MID,6.2,,,90,3
5,277,Egan,DEF,6.2,,,77,1
5,379,Isak,FWD,6.2,,,80,8
5,165,João Pedro,FWD,6.1,,,0,0
5,4,Gabriel,DEF,6.0,,,90,1
5,504,Vuskovic,DEF,6.0,,,90,8
5,282,Giles,DEF,6.0,,,90,0
5,316,Emersonn,FWD,6.0,,,80,2
5,305,Davis,DEF,5.8,,,90,2
5,427,Mbeumo,MID,5.8,,,90,2
5,565,M.Sangaré,MID,5.5,,,21,0
5,116,Dunk,DEF,5.5,,,0,0
5,233,Mykolenko,DEF,5.5,,,90,5
5,268,King,MID,5.5,,,79,2
5,335,Stach,MID,5.5,,,90,5
5,10,White,DEF,5.2,,,0,0
5,334,Muharemović,DEF,5.2,,,90,6
5,346,Calvert-Lewin,FWD,5.0,,,90,2
5,13,Rice,MID,4.8,,,90,1
5,86,Lewis-Potter,MID,4.8,,,80,3
5,605,Yalcouyé,MID,4.8,,,5,1
5,230,Branthwaite,DEF,4.8,,,90,8
5,258,Castagne,DEF,4.8,,,90,1
5,350,A.Becker,GKP,4.8,,,90,8
5,453,Barnes,MID,4.8,,,90,9
5,472,Murillo,DEF,4.8,,,90,4
5,544,Xhaka,MID,4.8,,,90,2
5,138,Kostoulas,FWD,4.5,,,75,10
5,214,Kamada,MID,4.5,,,90,3
5,242,George,MID,4.5,,,11,1
5,332,Justin,DEF,4.5,,,90,8
5,385,Trafford,GKP,4.5,,,90,10
5,362,Jacquet,DEF,4.5,,,90,6
5,368,Szoboszlai,MID,4.5,,,80,2
5,432,Mainoo,MID,4.5,,,79,4
5,449,Hall,DEF,4.5,,,90,13
5,112,Van Hecke,DEF,4.5,,,90,6
5,26,Havertz,FWD,4.2,,,90,2
5,88,Kayode,DEF,4.2,,,68,6
5,109,Verbruggen,GKP,4.2,,,90,6
5,204,Mitchell,DEF,4.2,,,90,7
5,226,Pickford,GKP,4.2,,,90,8
5,236,Dewsbury-Hall,MID,4.2,,,90,3
5,356,Virgil,DEF,4.2,,,90,8
5,237,Ndiaye,MID,4.2,,,74,5
5,384,Donnarumma,GKP,4.2,,,90,2
5,469,N.Williams,DEF,4.2,,,90,2
5,79,Evanilson,FWD,4.0,,,90,2
5,127,Gomez,MID,4.0,,,85,8
5,643,Chilwell,DEF,4.0,,,0,0
5,650,Affengruber,DEF,4.0,,,90,4
5,338,Ampadu,MID,4.0,,,90,5
5,390,Rúben,DEF,4.0,,,90,1
5,397,Semenyo,MID,4.0,,,90,17
5,428,Cunha,MID,4.0,,,90,10
5,496,Kinsky,GKP,4.0,,,90,2
5,70,Kluivert,MID,3.8,,,0,0
5,173,Thomas,DEF,3.8,,,90,9
5,250,Leno,GKP,3.8,,,90,3
5,336,Okafor,MID,3.8,,,75,3
5,579,Araujo,DEF,3.8,,,90,7
5,464,Wissa,FWD,3.8,,,90,0
5,503,Van de Ven,DEF,3.8,,,90,1
5,557,Tzolis,MID,3.5,,,72,2
5,597,Suzuki,GKP,3.5,,,90,2
5,82,Kelleher,GKP,3.5,,,90,6
5,87,Ajer,DEF,3.5,,,90,7
5,249,Barry,FWD,3.5,,,90,6
5,377,Munoz,MID,3.5,,,18,1
5,483,Ndoye,MID,3.5,,,58,1
5,553,Isidor,FWD,3.5,,,22,1
5,96,Damsgaard,MID,3.2,,,86,3
5,114,Boscagli,DEF,3.2,,,90,6
5,588,Khalaili,DEF,3.2,,,90,6
5,280,Coyle,DEF,3.2,,,90,1
5,290,Slater,MID,3.2,,,77,2
5,591,Enciso,MID,3.2,,,73,2
5,481,Anderson,MID,3.2,,,90,2
5,502,Robertson,DEF,3.2,,,90,4
5,533,Mukiele,DEF,3.2,,,90,0
5,542,E.Le Fée,MID,3.2,,,90,5
5,11,Mosquera,DEF,3.0,,,0,0
5,129,Ayari,MID,3.0,,,90,3
5,156,Neto,MID,3.0,,,86,2
5,211,Yeremy,MID,3.0,,,81,2
5,222,Strand Larsen,FWD,3.0,,,81,2
5,644,Timber,MID,3.0,,,90,3
5,569,Gonzalo,FWD,3.0,,,79,2
5,295,McBurnie,FWD,3.0,,,90,1
5,619,Palacios,MID,3.0,,,80,2
5,640,Flemming,FWD,3.0,,,9,0
5,327,Bijol,DEF,3.0,,,0,0
5,345,Tanaka,MID,3.0,,,67,2
5,366,Wirtz,MID,3.0,,,70,6
5,460,Willock,MID,3.0,,,86,10
5,467,Sels,GKP,3.0,,,90,2
5,455,Tonali,MID,3.0,,,83,2
5,532,Ballard,DEF,3.0,,,90,2
5,551,N.Angulo,MID,3.0,,,59,4
5,31,Konsa,DEF,2.8,,,90,1
5,45,McGinn,MID,2.8,,,83,6
5,161,Lavia,MID,2.8,,,0,0
5,570,Palacios,MID,2.8,,,19,1
5,447,Botman,DEF,2.8,,,90,4
5,567,Horníček,GKP,2.8,,,90,3
5,491,Igor Jesus,FWD,2.8,,,31,1
5,558,Schlager,MID,2.8,,,90,2
5,516,Bentancur,MID,2.8,,,83,4
5,529,Roefs,GKP,2.8,,,90,0
5,541,Meunier,DEF,2.8,,,78,3
5,244,Armstrong,MID,2.6,,,90,2
5,566,Silva,DEF,2.5,,,90,3
5,200,Lacroix,DEF,2.5,,,90,3
5,210,Wharton,MID,2.5,,,90,2
5,254,Robinson,DEF,2.5,,,90,2
5,264,Bobb,MID,2.5,,,70,3
5,389,Matheus N.,DEF,2.5,,,90,1
5,43,Tielemans,MID,2.5,,,90,4
5,445,Thiaw,DEF,2.5,,,90,4
5,486,McAtee,MID,2.5,,,82,2
5,7,Lewis-Skelly,MID,2.2,,,0,0
5,41,Buendía,MID,2.2,,,90,12
5,46,Barkley,MID,2.2,,,6,1
5,47,Kamara,MID,2.2,,,83,6
5,247,Hackney,MID,2.2,,,1,1
5,257,Bassey,DEF,2.2,,,90,6
5,261,Iwobi,MID,2.2,,,70,5
5,580,Charles,MID,2.2,,,90,4
5,267,Lukić,MID,2.2,,,72,2
5,313,Clarke,MID,2.2,,,65,2
5,315,Fatawu,MID,2.2,,,66,-1
5,393,Khusanov,DEF,2.2,,,0,0
5,534,Hume,DEF,2.2,,,11,1
5,452,Bruno G.,MID,2.0,,,59,1
5,51,George Hemmings,MID,2.0,,,18,1
5,52,Alysson,MID,2.0,,,0,0
5,60,Hill,DEF,2.0,,,90,4
5,61,Truffert,DEF,2.0,,,90,2
5,67,Rayan,MID,2.0,,,87,2
5,73,Adams,MID,2.0,,,87,4
5,113,F.Kadıoğlu,DEF,2.0,,,75,5
5,639,Andrés,MID,2.0,,,84,8
5,148,Hato,DEF,2.0,,,0,0
5,183,Rudoni,MID,2.0,,,73,5
5,184,Grimes,MID,2.0,,,90,3
5,655,Gboho,MID,2.0,,,0,0
5,239,Garner,MID,2.0,,,90,3
5,265,Berge,MID,2.0,,,76,3
5,259,Diop,DEF,2.0,,,90,4
5,304,O'Shea,DEF,2.0,,,90,2
5,331,Gudmundsson,DEF,2.0,,,90,6
5,371,Gravenberch,MID,2.0,,,9,1
5,627,Barcola,MID,2.0,,,71,3
5,418,Maguire,DEF,2.0,,,90,2
5,429,Rashford,MID,2.0,,,76,2
5,439,Šeško,FWD,2.0,,,0,0
5,459,L.Miley,MID,2.0,,,90,4
5,167,Delap,FWD,2.0,,,90,1
5,473,Aina,DEF,2.0,,,0,0
5,499,Pedro Porro,DEF,2.0,,,18,1
5,514,Tel,MID,2.0,,,0,0
5,545,Sadiki,MID,2.0,,,67,2
5,474,Jair Cunha,DEF,1.9,,,90,1
5,32,Cash,DEF,1.8,,,45,-1
5,33,Mings,DEF,1.8,,,90,3
5,37,Lindelöf,DEF,1.8,,,90,1
5,57,Petrović,GKP,1.8,,,90,2
5,71,Cook,MID,1.8,,,15,1
5,93,Schuster,DEF,1.8,,,90,14
5,28,Martinez,GKP,1.8,,,90,2
